,id,date,time,tweet,timezone,likes,user_id,username,replies,retweets,hashtags,retweet,user_rt,mentions,link,Key word
0,968522275304738816,2018-02-27,21:54:39,"இலங்கையில் தமிழ் தேசிய கூட்டமைப்பின் மீது தமிழ் மக்கள் அதிருப்தி கொள்ள வேண்டும் என்பதற்காக, தமிழ்த் தேசிய விரோத சக்திகளிடமிருந்து சலுகைகள் பெற்று, பெயர்கள், உரிமை கூறல் இல்லாது அநாமதேய ""நாடுகடந்த தமீழீழ அரசின் நண்பர்கள்"" - என்ற பெயரில் த. தே. கூ. இற்கெதிராகப் பிரசாரம்!  pic.twitter.com/K5XePym9rs",Sri Lanka Standard Time,0,1122170666,TNAMediaTribune,1,2,,,None,,https://twitter.com/TNAMediaTribune/status/968522275304738816,அதிருப்தி
1,968487455769808904,2018-02-27,19:36:17,கோவையில் இருந்து நெல்லைக்கு பாலக்காடு வழியாக சிறப்பு ரயில் - பயணிகள் அதிருப்தி#Pollachi #Coimbatore pic.twitter.com/S6kLYXNGGf,Sri Lanka Standard Time,5,915594331607543808,TNRA_RailNews,0,5,"#Pollachi,#Coimbatore",,None,,https://twitter.com/TNRA_RailNews/status/968487455769808904,அதிருப்தி
2,968468294884720640,2018-02-27,18:20:09,விஜய் எமர்ஜென்சி வெளிப்படையாக காசிம் பேரவையை நடத்தாததால் அதிலிருந்து வெளியேறுகிறோம்! அதிருப்தி இயக்கங்கள் கூட்டாக அறிவிப்பு  http://www.anegun.com/blog/%e0%ae%b5%e0%ae%bf%e0%ae%9c%e0%ae%af%e0%af%8d-%e0%ae%8e%e0%ae%ae%e0%ae%b0%e0%af%8d%e0%ae%9c%e0%af%86%e0%ae%a9%e0%af%8d%e0%ae%9a%e0%ae%bf-%e0%ae%b5%e0%af%86%e0%ae%b3%e0%ae%bf%e0%ae%aa%e0%af%8d%e0%ae%aa/ … pic.twitter.com/AZommQGTpV,Sri Lanka Standard Time,1,932810221306626048,AnegunC,0,1,,,None,,https://twitter.com/AnegunC/status/968468294884720640,அதிருப்தி
3,968455219687276544,2018-02-27,17:28:12,ஸ்ரீதேவி மரணம் தொடர்பாக ஊடகங்கள் செய்தி வெளியிடும் முறை குறித்து ஐக்கிய அரபு எமிரெட்சுக்கான இந்திய தூதர் அதிருப்தி தெரிவித்து உள்ளார்,Sri Lanka Standard Time,0,3229651645,manochandra72,0,0,,,None,,https://twitter.com/manochandra72/status/968455219687276544,அதிருப்தி
4,968434573045415936,2018-02-27,16:06:09,"இந்தியா செய்வது சரியில்லை, 'ஹார்லி டேவிட்சன்' பைக்கை இறக்குமதி செய்ய, இந்தியா 50% வரி விதிப்பதாக அமெரிக்க அதிபர் டொனால்ட் ட்ரம்ப் மீண்டும் அதிருப்தி.",Sri Lanka Standard Time,1,118598646,tweetstd,0,0,,,None,,https://twitter.com/tweetstd/status/968434573045415936,அதிருப்தி
5,968416075611242496,2018-02-27,14:52:39,"ஸ்ரீதேவி மரணம் தொடர்பான செய்தி: ஊடகங்கள் மீது நடிகர்-நடிகைகள் பாய்ச்சல், இந்திய தூதரும் அதிருப்தி #Sridevi... https://fb.me/9rub4CbhQ ",Sri Lanka Standard Time,9,233899475,dinathanthi,1,2,#Sridevi,,None,,https://twitter.com/dinathanthi/status/968416075611242496,அதிருப்தி
6,968298006968639488,2018-02-27,07:03:29,@DINAMANI #StJosephHospice கருணை இல்ல விவகாரத்தில் மாவட்ட நிர்வாகம் மெத்தனம்: தேசிய ஆதிதிராவிட ஆணைய துணைத் தலைவர் அதிருப்தி #StJoseph  https://goo.gl/TKYZXx  via @Dinamani,Sri Lanka Standard Time,0,4120077673,Lotus4MTP,0,0,"#StJosephHospice,#StJoseph",,None,DINAMANI,https://twitter.com/Lotus4MTP/status/968298006968639488,அதிருப்தி
7,968156332678250496,2018-02-26,21:40:31,@mkstalin தங்களுக்கு ஐஐடி மீது அதிருப்தி இருந்தால் அதை அவர்களிடம் கான்பியுங்கள். இதற்கு ஏன் மத்திய அரசைக் கேள்வி கேட்க வேண்டும்???,Sri Lanka Standard Time,7,954662150978637824,jovial_arjun,1,2,,,None,mkstalin,https://twitter.com/jovial_arjun/status/968156332678250496,அதிருப்தி
8,968116889145634817,2018-02-26,19:03:47,பிரித்தானிய பராளுமன்றில் இலங்கை அரசின்மீது அதிருப்தி.  http://thinavoli.com/2018/02/26/%e0%ae%aa%e0%ae%bf%e0%ae%b0%e0%ae%bf%e0%ae%a4%e0%af%8d%e0%ae%a4%e0%ae%be%e0%ae%a9%e0%ae%bf%e0%ae%af-%e0%ae%aa%e0%ae%b0%e0%ae%be%e0%ae%b3%e0%af%81%e0%ae%ae%e0%ae%a9%e0%af%8d%e0%ae%b1%e0%ae%bf%e0%ae%b2/ … pic.twitter.com/QFuMrVzLhr,Sri Lanka Standard Time,0,766852302867042305,thinavoli,0,0,,,None,,https://twitter.com/thinavoli/status/968116889145634817,அதிருப்தி
9,968015453669879808,2018-02-26,12:20:43,"தூய்மை இந்தியா திட்டத்தின்படி மாநகராட்சியை மதிப்பீடு செய்யும் குழு திருச்சி வருகைஎந்தெந்த பகுதிகளில் ஆய்வு, மதிப்பீடு என்பதை வெளிப்படையாக தெரிவிக்கவில்லை என்றும்தங்களது கருத்தை குழுவிடம் தெரிவிக்க முடியவில்லை எனவும் பொதுமக்கள் அதிருப்தி",Sri Lanka Standard Time,13,739042814755901440,News18TamilNadu,0,2,,,None,,https://twitter.com/News18TamilNadu/status/968015453669879808,அதிருப்தி
10,968001066267652096,2018-02-26,11:23:33,@RagavanG அவர் மேல கடுமையான அதிருப்தி இருக்காம். இந்த மத்திய அரசை எதிர்த்து போராடுவதே இந்த அதிருப்தியை சமாளிக்கனு அங்க உள்ள நண்பர் சொன்னார்...,Sri Lanka Standard Time,0,80571348,rrsuresh,0,0,,,None,RagavanG,https://twitter.com/rrsuresh/status/968001066267652096,அதிருப்தி
11,967993137707720704,2018-02-26,10:52:03,மைத்திரி அரசின்மீது அதிருப்தி வெளியிட்ட E.U!!  http://oorukai.com/?p=325  pic.twitter.com/6YnaorNMLz,Sri Lanka Standard Time,0,622159854,JeraThampi,0,0,,,None,,https://twitter.com/JeraThampi/status/967993137707720704,அதிருப்தி
12,967742933171453952,2018-02-25,18:17:49,பயங்கரவாத தடுப்பு நடவடிக்கையில் பாகிஸ்தான் மீது டிரம்ப் அதிருப்தி – Eseenews  https://fb.me/2r3h0s3qM ,Sri Lanka Standard Time,0,766277451274223616,esenews,0,0,,,None,,https://twitter.com/esenews/status/967742933171453952,அதிருப்தி
13,967742004086980610,2018-02-25,18:14:08,ஜார்கண்ட்: ரேசன் நேரடி மானிய திட்டத்தில் 97 சதவீத மக்கள் அதிருப்தி  http://dlvr.it/QHm7Q9  pic.twitter.com/PTI7EDcvcV,Sri Lanka Standard Time,0,3248503542,Patrikaidotcom,0,0,,,None,,https://twitter.com/Patrikaidotcom/status/967742004086980610,அதிருப்தி
14,967650916248838145,2018-02-25,12:12:11,இலங்கை மீது ஐ.நா அதிருப்தி- போரில் பாதிக்கப்பட்டவர்களுக்கு போதிய நீதி இல்லை  https://www.tamilnewsread.com/%e0%ae%87%e0%ae%b2%e0%ae%99%e0%af%8d%e0%ae%95%e0%af%88-%e0%ae%ae%e0%af%80%e0%ae%a4%e0%af%81-%e0%ae%90-%e0%ae%a8%e0%ae%be-%e0%ae%85%e0%ae%a4%e0%ae%bf%e0%ae%b0%e0%af%81%e0%ae%aa%e0%af%8d%e0%ae%a4/ … pic.twitter.com/CYelF3p2z5,Sri Lanka Standard Time,0,928218877816745984,Tamilnewsread,0,0,,,None,,https://twitter.com/Tamilnewsread/status/967650916248838145,அதிருப்தி
15,967600812762386433,2018-02-25,08:53:05,போரில் பாதிக்கப்பட்டவர்களுக்கு நீதி வழங்குவதில் இலங்கை அரசாங்கம் உரிய நடவடிக்கை எடுக்காதது குறித்து அதிருப்தி  http://dlvr.it/QHkDcS ,Sri Lanka Standard Time,0,435737937,amparanews,0,0,,,None,,https://twitter.com/amparanews/status/967600812762386433,அதிருப்தி
16,967600808752701440,2018-02-25,08:53:04,போரில் பாதிக்கப்பட்டவர்களுக்கு நீதி வழங்குவதில் இலங்கை அரசாங்கம் உரிய நடவடிக்கை எடுக்காதது குறித்து அதிருப்தி  http://dlvr.it/QHkDZm ,Sri Lanka Standard Time,0,197189883,batti_news,0,0,,,None,,https://twitter.com/batti_news/status/967600808752701440,அதிருப்தி
17,967589781709484032,2018-02-25,08:09:15,'போரில் பாதிக்கப்பட்டவர்களுக்கு போதிய நீதி இல்லை': இலங்கை மீது ஐ.நா அதிருப்தி  http://ift.tt/2sOVtYZ  #bbc,Sri Lanka Standard Time,0,1638253117,Vennillaa,0,0,#bbc,,None,,https://twitter.com/Vennillaa/status/967589781709484032,அதிருப்தி
18,967589147467763713,2018-02-25,08:06:44,'போரில் பாதிக்கப்பட்டவர்களுக்கு போதிய நீதி இல்லை': இலங்கை மீது ஐ.நா அதிருப்தி  http://bbc.in/2BS90lc ,Sri Lanka Standard Time,14,23763445,bbctamil,2,6,,,None,,https://twitter.com/bbctamil/status/967589147467763713,அதிருப்தி
