,Unnamed: 0,id,date,time,tweet,timezone,likes,user_id,username,replies,retweets,hashtags,retweet,user_rt,mentions,link,Key word
0,0,967224683518091264,2018-02-24,07:58:29,@SeemanOfficial @NaamTamilarOrg @stalin_germany @naiyaandinaina @manion ஆர்வேடு அசிங்கங்கள்,Sri Lanka Standard Time,2,331488295,Its_Pillai,1,0,,,None,"manion,naiyaandinaina,stalin_germany,NaamTamilarOrg,SeemanOfficial",https://twitter.com/Its_Pillai/status/967224683518091264,அசிங்கங்கள்
1,1,965600472131424256,2018-02-19,20:24:27,கருத்தை கருத்தால் எதிர்கொள்ள தெரியாத அசிங்கங்கள்அசிங்கமாக எழுதுவதை வாடிக்கையாக வைத்துள்ளார்கள்.,Sri Lanka Standard Time,0,2195900605,thawheednow,0,0,,,None,,https://twitter.com/thawheednow/status/965600472131424256,அசிங்கங்கள்
2,2,964159085162643457,2018-02-15,20:56:53,@karthik_thinks @LINGAKUMAR1710 இதுக்கே மனவருத்தம் அடைந்தால் எப்படி. சந்திக்க வேண்டிய அசிங்கங்கள் நிறைய இருக்கிறது சகோ.,Sri Lanka Standard Time,2,948868862245724160,CKathiravan7,0,1,,,None,"LINGAKUMAR1710,karthik_thinks",https://twitter.com/CKathiravan7/status/964159085162643457,அசிங்கங்கள்
3,3,962322987662782464,2018-02-10,19:20:54,"@NaamTamilarOrg @aan00674 இராச இராச சோழன் கட்டிய தஞ்சைப் பெரிய கோவிலின் தரையில் இருந்து இரண்டு அடுக்குகளில் மட்டுமே அதன் உண்மையான சிற்பங்கள்.அதற்கு மேல் உச்சி வரை ஆரிய அசிங்கங்கள், புனரமைப்பு என்ற பெயரில் அள்ளித்தெளிக்கப்பட்டிருக்கின்றன.தெரியுமா உங்களுக்கு?",Sri Lanka Standard Time,5,331488295,Its_Pillai,3,2,,,None,"aan00674,NaamTamilarOrg",https://twitter.com/Its_Pillai/status/962322987662782464,அசிங்கங்கள்
4,4,961985125914263552,2018-02-09,20:58:21,"@gokula15sai @mosakkara அப்படிப்பட்ட அசிங்கங்கள் தமிழகத்தில் நடக்காது என்பது நிதர்சனம்.ஆறுதல்.ஆனால், அதிமுக‌ இன்றும் தமிழகத்தின் முதல் கட்சி.அதை எதிர்க்க திமுகவிற்கு அதிமுக எதிர்ப்பு வாக்குகள் அதிகம் தேவை.திமுகவினர் தங்கள் கொள்கைகளை அடுத்த தலைமுறையினருக்கு கொண்டு செல்லவில்லை.",Sri Lanka Standard Time,0,4738149524,Tamilchelvi1967,2,0,,,None,"mosakkara,gokula15sai",https://twitter.com/Tamilchelvi1967/status/961985125914263552,அசிங்கங்கள்
5,5,960619743651749888,2018-02-06,02:32:48,@RangaSubramanim இந்த உலகத்தில் மிக கேவலமான ஈனப்பிறவிகள் விஜய் ரசிகர்கள் தான் .இவர்களும் இன்னும் சில அரசியல் கட்சிகளின் ஆதரவாளர்கள் இந்த அசிங்கங்கள் தமிழர் இடத்தில் இருந்து அழிக்கப் பட்டால் மட்டுமே தமிழர் ஒரு நாகரிகமான இனமாக கருதப்படும்.,Sri Lanka Standard Time,11,851118933100961793,v_mayavan,3,2,,,None,RangaSubramanim,https://twitter.com/v_mayavan/status/960619743651749888,அசிங்கங்கள்
6,6,960566857622200321,2018-02-05,23:02:39,நேரில் பேசுகையில் தேன் ஒழுகும் நாவும் மறைவில் விசம் படிந்த வாயுமாக வாழும் அசிங்கங்கள் சூழ தான்...  https://fb.me/1SCF2NjPP ,Sri Lanka Standard Time,0,71324238,tweetmayuG,0,0,,,None,,https://twitter.com/tweetmayuG/status/960566857622200321,அசிங்கங்கள்
0,0,968542877990117376,2018-02-27,23:16:31,@truthontrump1 @KasthuriShankar @sivabalamurug20 அசிங்கத்தின் உச்சம் பால முருகன்,Sri Lanka Standard Time,11,893851004751368192,BabuRajw,2,0,,,None,"sivabalamurug20,KasthuriShankar,truthontrump1",https://twitter.com/BabuRajw/status/968542877990117376,அசிங்கத்தின்
1,1,967390627741741061,2018-02-24,18:57:53,@news7tamil @Mark2kali செம சிங் அடிக்காங்க - இரண்டு நாள் முன்னாடி இந்தியாவின் முதல் தீவிரவாதி கோவால்க்கரை புகழ்ந்து தள்ளி குருஜி என்றார்கள். அசிங்கத்தின்  உச்சம் இந்த நியுஸ் 7,Sri Lanka Standard Time,13,2185569804,YousufRiaz1,1,1,,,None,"Mark2kali,news7tamil",https://twitter.com/YousufRiaz1/status/967390627741741061,அசிங்கத்தின்
2,2,966959702008520705,2018-02-23,14:25:32,@OfficeOfOPS அசிங்கத்தின் பிறப்பிடமே...!!அம்மாவின் அவமானமே...!!!தமிழகத்தின் தலைகுனிவே...!!,Sri Lanka Standard Time,6,899689718148866048,mathivanan_dr,1,0,,,None,OfficeOfOPS,https://twitter.com/mathivanan_dr/status/966959702008520705,அசிங்கத்தின்
3,3,965223290305265664,2018-02-18,19:25:40,"@ThanthiTV மோடி சென்னதனால் தான் மீண்டும் நான் இணைந்தேன் -பன்னீசெல்வம்நீ ஒரு பாஜகவின் அடிமை,சுய புத்தி இல்லாதவன்,ஆண்மையற்றவன்,திருடன்,பதவிவெறிபிடித்தவன்,ஏமாற்றுக்காரன்,அம்மா மரணத்தை வைத்து(வேசிதனம்)அரசியல் செய்தவன்,தூரோகி,அசிங்கத்தின் மறுஉருவம்,கருமயுத்தம் கண்ட களவாணி என இதன் மூலம் அறிவோம்",Sri Lanka Standard Time,2,899689718148866048,mathivanan_dr,0,0,,,None,ThanthiTV,https://twitter.com/mathivanan_dr/status/965223290305265664,அசிங்கத்தின்
