,Unnamed: 0,Unnamed: 0.1,id,date,time,tweet,timezone,likes,user_id,username,replies,retweets,hashtags,retweet,user_rt,mentions,link,Key word
0,0,0,977757477063110656,2018-03-25,09:32:03,@DrTamilisaiBJP தமிழகத்தில் யாருக்குமே தகிதி இல்லை என்று அசிங்கப்படுத்துபவர்களுக்கு துணை நிற்கும் தமிழ் துரோகிகள்....#தமிழ்நாட்டு_அசிங்கங்கள்,Sri Lanka Standard Time,0,3011140663,vignesh_it58,0,0,#தம,,None,DrTamilisaiBJP,https://twitter.com/vignesh_it58/status/977757477063110656,அசிங்கங்கள்
1,1,1,977612384389890048,2018-03-24,23:55:30,தீமையை எதிர்த்து கடைகளை அடைத்தனர் தூத்துக்குடி சிங்கங்கள். தீமையை எதிர்க்கத் திராணியற்றஊடக விபச்சாரிகள் தமது கண்காது வாய் சூத்து மொத்தத்தையும் அடைத்துக்கொண்டனர். அசிங்கங்கள்.  https://twitter.com/azakincirippu/status/977553788130045953 …,Sri Lanka Standard Time,0,865808092780298240,Arivazhi,0,0,,,None,,https://twitter.com/Arivazhi/status/977612384389890048,அசிங்கங்கள்
2,2,2,977509458749243392,2018-03-24,17:06:30,ஐயோ.... ஐயோ...மகா ஜனங்களேஇதுக்கு வாய்ல சிரிக்காதிங்க..அதுல கூட சிரிக்காதிங்கTN's unworth அசிங்கங்கள்.  https://twitter.com/nithya_shre/status/977184349970812930 …,Sri Lanka Standard Time,0,330523392,valimaiyana,0,0,,,None,,https://twitter.com/valimaiyana/status/977509458749243392,அசிங்கங்கள்
3,3,3,977422473506430976,2018-03-24,11:20:51,அறிவுஜீவிகள் போர்வையில் அசிங்கங்கள்.😖  https://twitter.com/kesavaessar/status/977367197226946560 …,Sri Lanka Standard Time,0,881034010071146498,Srinandhakumar5,0,0,,,None,,https://twitter.com/Srinandhakumar5/status/977422473506430976,அசிங்கங்கள்
4,4,4,974329274026016768,2018-03-15,22:29:35,@Karthik_I_ அவனால நான் பட்ட அசிங்கங்கள்😴😴 அனில்ஸ் எல்லாம் என் பழைய ட்வீட்ட தோண்டி எடுத்து களாய்ச்சனுங்க😑,Sri Lanka Standard Time,0,2299763923,itzRam_Kumar,1,0,,,None,Karthik_I_,https://twitter.com/itzRam_Kumar/status/974329274026016768,அசிங்கங்கள்
5,5,5,974106506214891520,2018-03-15,07:44:23,"கிறிஸ்தவ ஆங்கிலேய வியாபாரிக்கு சோரம்போய் அவன் கால்களை நக்கி வாழ்ந்த வம்சம் இந்திய தமிழக கலாச்சாரத்தை கேவலப்படுத்தியவர்கள், இப்போது, தனக்கு தானே TAMILAR BRAND முத்திரையிட்டு தமிழ் மக்களுடன் கலந்து விட சூழ்ச்சி செய்கிறது மானங்கெட்ட அசிங்கங்கள்.",Sri Lanka Standard Time,28,2962301731,nalliah1948,0,10,,,None,,https://twitter.com/nalliah1948/status/974106506214891520,அசிங்கங்கள்
6,6,6,973490042101489664,2018-03-13,14:54:47,கலைஞரை யாரோடு ஒப்பிடுவது ...மாட்டு மூளைகள் பதவியில் இருப்பதால் நடக்கும் அசிங்கங்கள் !,Sri Lanka Standard Time,0,226957140,RenugopalV,0,0,,,None,,https://twitter.com/RenugopalV/status/973490042101489664,அசிங்கங்கள்
7,7,7,972861640868741122,2018-03-11,21:17:44,👉 எத்தனையோ😨 கஷ்டங்கள்😩 நஷ்டங்கள்😢 துன்பங்கள்😭 துயரங்கள்😰 அசிங்கங்கள்😱 அவமானங்கள்⏩ கடந்த பிறகும் ஒன்ருமே தெரியாதது போல் காட்டிக்கொன்டு 👪 குடும்பத்தின் மத்தியில் 😊 சிரித்துக் கொன்டிருக்கும் 👨 தந்தைக்கு நிகரான நம்பிக்கை ஊட்டும் 📚 புத்தகம் இந்த உலகில் வேரேதுமில்லை,Sri Lanka Standard Time,0,754019562,rinos34,0,0,,,None,,https://twitter.com/rinos34/status/972861640868741122,அசிங்கங்கள்
8,8,8,971972673185054720,2018-03-09,10:25:18,👉 எத்தனையோ😨 கஷ்டங்கள்😩 நஷ்டங்கள்😢 துன்பங்கள்😭 துயரங்கள்😰 அசிங்கங்கள்😱 அவமானங்கள்⏩ கடந்த பிறகும் ஒன்ருமே தெரியாதது போல் காட்டிக்கொன்டு 👪 குடும்பத்தின் மத்தியில் 😊 சிரித்துக் கொன்டிருக்கும் 👨 தந்தைக்கு நிகரான நம்பிக்கை ஊட்டும் 📚 புத்தகம் இந்த உலகில் வேரேதுமில்லை,Sri Lanka Standard Time,0,799596364594376704,SENTHIL75564821,0,0,,,None,,https://twitter.com/SENTHIL75564821/status/971972673185054720,அசிங்கங்கள்
9,9,9,971585414560493568,2018-03-08,08:46:28,👉 எத்தனையோ😨 கஷ்டங்கள்😩 நஷ்டங்கள்😢 துன்பங்கள்😭 துயரங்கள்😰 அசிங்கங்கள்😱 அவமானங்கள்⏩ கடந்த பிறகும் ஒன்ருமே தெரியாதது போல் காட்டிக்கொன்டு 👪 குடும்பத்தின் மத்தியில் 😊 சிரித்துக் கொன்டிருக்கும் 👨 எனக்கு நிகரான நம்பிக்கை ஊட்டும் 📚 புத்தகம் இந்த உலகில் வேரேதுமில்லை,Sri Lanka Standard Time,0,1420918831,viratpush,0,0,,,None,,https://twitter.com/viratpush/status/971585414560493568,அசிங்கங்கள்
