,id,date,time,tweet,timezone,likes,user_id,username,replies,retweets,hashtags,retweet,user_rt,mentions,link,Key word
0,1045375250664280064,2018-09-27,23:40:56,@mkstalin @C47137186 @raja6mugam ஜெயலலிதாவுக்கும் விஎன்ஜானகிக்கும் வாரிசு இருக்கு; ஆனா எம்ஜிஆர்க்குதான் இல்லை. ஆனா அதுவும் சட்டப்படி இல்லை. இப்படி இதைப்பற்றி விவாதித்தால் அசிங்கங்கள் வெளியே தெரியவரும். ஆதலால் திமுகவுக்கு வாரிசு இருக்கு அதனால் மட்டுமல்ல ஸ்டாலின் திமுக தலைவரா வந்தது அதிர்ஷ்டத்தினால் அல்ல  pic.twitter.com/Jevtw8PfHj,Sri Lanka Standard Time,1,1614710280,arasan_66,0,0,,,None,"raja6mugam,C47137186,mkstalin",https://twitter.com/arasan_66/status/1045375250664280064,அசிங்கங்கள்
1,1045353311891668992,2018-09-27,22:13:45,@shivaas_twitz @RangarajPandeyR ஆமாமாம்.. இப்போது உள்ள ஊடகங்கள் இப்படி இருப்பதால்தான் தினமும்  அரசியல் அசிங்கங்கள்  அரங்கேறிக் கொண்டிருக்கின்றன !,Sri Lanka Standard Time,0,824499947009667073,Subbumeil,0,0,,,None,"RangarajPandeyR,shivaas_twitz",https://twitter.com/Subbumeil/status/1045353311891668992,அசிங்கங்கள்
2,1045291329498959872,2018-09-27,18:07:28,அசிங்கத்துக்கு துணை புரியும் அசிங்கங்கள் அசிங்கப்பட்டே ஆகவேண்டும் .  https://twitter.com/arun_dhanaraj/status/1045195247150497794 …,Sri Lanka Standard Time,0,865808092780298240,Arivazhi,0,0,,,None,,https://twitter.com/Arivazhi/status/1045291329498959872,அசிங்கங்கள்
3,1045261196620836864,2018-09-27,16:07:43,@PASCamerica @AsiriyarKV @princenrsama @kryes அப்படியே விட்டு விட்டால் இங்கும் ஒரு #கும்பமேளா அசிங்கங்கள் நிகழ வாய்ப்புண்டு!!வடநாட்டு சம்பிரதாயங்களை எல்லாம் இங்கு தமிழ்நாட்டில் அனுமதிக்கவே கூடாது!!அது மதச் சண்டைகளும் மூடநம்பிக்கைகளையும் வளர்க்கும்!!,Sri Lanka Standard Time,1,83072954,yozenbalki,0,0,#க,,None,"kryes,princenrsama,AsiriyarKV,PASCamerica",https://twitter.com/yozenbalki/status/1045261196620836864,அசிங்கங்கள்
4,1045207839109607424,2018-09-27,12:35:42,"@MajorSimhan @karthik_nmkl @politician007 @butcherthem @ssbalu6465 @Motcham_ @wataboutery @vanamadevi @stalinsk50 @sansbarrier @LINGAKUMAR1710 @Bhairavibhairav @saniyan_2sani @renewindia @yeskaytweets @Bangalore_dayz @vechusenjing @knowdavis @itz_katti @VVR_KrishnaN @Ramke_twits @electric_eka @karthik_klt @vsvraghavan @BS_Prasad @lalitha_jr @vsgopalan @aiswaryavenkat @ganesh_kala59 @sparjaga @santamil85 @srjk22 @Srini13921149 @Thamizhravanan @vasanth6_7 @KumarA39398931 டேய் புண்டா மவனே, சொறியானே செருப்பு மாலை, செருப்படி வாங்கிட்டு இருக்கான். அவன் பேண்டு போட்ட அசிங்கங்கள் உங்களை பத்து பத்து சுத்தம் பண்ணிட்டு இருக்கோம்.",Sri Lanka Standard Time,1,1174696032,hemavaithi67,0,1,,,None,"KumarA39398931,vasanth6_7,Thamizhravanan,Srini13921149,srjk22,santamil85,sparjaga,ganesh_kala59,aiswaryavenkat,vsgopalan,lalitha_jr,BS_Prasad,vsvraghavan,karthik_klt,electric_eka,Ramke_twits,VVR_KrishnaN,itz_katti,knowdavis,vechusenjing,Bangalore_dayz,yeskaytweets,renewindia,saniyan_2sani,Bhairavibhairav,LINGAKUMAR1710,sansbarrier,stalinsk50,vanamadevi,wataboutery,Motcham_,ssbalu6465,butcherthem,politician007,karthik_nmkl,MajorSimhan",https://twitter.com/hemavaithi67/status/1045207839109607424,அசிங்கங்கள்
5,1045146945080053760,2018-09-27,08:33:44,"@pononline Hahahaha...... அசிங்கம், அவமானத்தின் சின்னங்கள் இந்த இரண்டு அசிங்கங்கள்... ஒன்று எடுபுடி இன்னொன்று சிறுநீரகச் செல்வம்...",Sri Lanka Standard Time,1,867188585543344128,Shattianathan1,0,0,,,None,pononline,https://twitter.com/Shattianathan1/status/1045146945080053760,அசிங்கங்கள்
6,1044495497770106881,2018-09-25,13:25:07,இன்னும் என்னென்ன அசிங்கங்கள் நீதித்துறை சந்திக்க வேண்டி இருக்கோ தெரியல  pic.twitter.com/lbMix4fUyT,Sri Lanka Standard Time,2,829624548349784065,ThamizhanSs,0,3,,,None,,https://twitter.com/ThamizhanSs/status/1044495497770106881,அசிங்கங்கள்
7,1043828843532804096,2018-09-23,17:16:04,@nakkheeranweb அழுக்கு உருண்டையின் அசிங்கங்கள்,Sri Lanka Standard Time,0,1013728820371701760,gRgvK80vy2RX3Nl,0,0,,,None,nakkheeranweb,https://twitter.com/gRgvK80vy2RX3Nl/status/1043828843532804096,அசிங்கங்கள்
8,1043545125417234432,2018-09-22,22:28:40,அந்த வட இந்திய (அழகிகள்) மன்னிக்கவும் அசிங்கங்கள் பிக்பாஸ் குழுவையோ அல்லது அதில் தனிபட்ட ஒருவரையோ மிகவும் மயக்கி விட்டார்... ஏன்யா வந்தவர்களை வாழ வைக்கும் தமிழகம் தான் அதற்காக....Bigg Boss Vote  https://tamilglitz.in/bigg-boss-tamil-vote/ …,Sri Lanka Standard Time,0,536256251,rajaney65,0,0,,,None,,https://twitter.com/rajaney65/status/1043545125417234432,அசிங்கங்கள்
9,1043005935780651008,2018-09-21,10:46:07,"நம் தமிழ்  இனத்தின் அசிங்கங்கள் ,தமிழ் ஒரு மதம் தான் ,சாதியற்ற மதம்  https://twitter.com/Thamizhravanan/status/1042446347004080128 …",Sri Lanka Standard Time,0,50620352,green1948,0,0,,,None,,https://twitter.com/green1948/status/1043005935780651008,அசிங்கங்கள்
10,1042388353272958981,2018-09-19,17:52:04,"@mayavarathaan இனி அடிக்கடி, ஸ்டாலின், போராட்டம் அறிவிப்பார் மகன் வளர்ச்சிக்காக....................மானக்கெட்ட உடன்பிறப்புகள் கோஷம் போட்டு போகுங்க..............!! சுயமரியாதை அசிங்கங்கள் !!",Sri Lanka Standard Time,3,828629756589461508,Silence4757,0,0,,,None,mayavarathaan,https://twitter.com/Silence4757/status/1042388353272958981,அசிங்கங்கள்
11,1042253311997403136,2018-09-19,08:55:28,"இங்கு இதுதான் பிரச்சனையே.சினிமா சீரழித்தது,வீட்டின் நடுஹாலில் அம்மணமாய் அசிங்கங்கள் தொ(ல்)லைக் காட்சி பெட்டியில்,வீதிகளில் வீரியவெறியூட்டும் போஸ்டர்களில்,காமநாய்கள் பார்க்கின்றன கண்ணில் பார்ப்பவையெல்லாம் குதறுகின்றன.நாடு நாசமாகி போய் கொண்டிருக்கிறது.  https://twitter.com/redwinsamuel/status/1042247555688554496 …",Sri Lanka Standard Time,0,1027786027841150977,Hello90128090,1,0,,,None,,https://twitter.com/Hello90128090/status/1042253311997403136,அசிங்கங்கள்
12,1042024578610913280,2018-09-18,17:46:34,"@LTjME5qjQRlZnwv @rajradje IIT Maths Ass professor WB வசந்தா அவர்களின் வழக்கை உற்று நோக்கினாலே, இந்த அயோக்கிய பார்ப்பன பரதேசிகள் பார்ப்பன லாபியில் பன்ன கேவலமான அசிங்கங்கள் தெரியவரும்.தகுதியே இல்லாத பார்ப்பன நாய்களக்கு பதவி உயர்வு தரவதற்கு எல்லா தகுதியிருந்த வசந்தா அவர்களின் பதவி உயர்வை ஓய்வுவரை தரவில்லை",Sri Lanka Standard Time,0,986258796996538368,GopinathanDura1,0,0,,,None,"rajradje,LTjME5qjQRlZnwv",https://twitter.com/GopinathanDura1/status/1042024578610913280,அசிங்கங்கள்
13,1041368898568744965,2018-09-16,22:21:07,எத்தகைய தலைவர்கள் வாழ்ந்த நாடு இது.நம் தலைமுறையோடு இந்த அசிங்கங்கள் ஒழியவேண்டும். அடுத்த தலைமுறைக்கு பாடமாக இருக்கட்டும்  https://twitter.com/ansari_masthan/status/1041004243539447808 …,Sri Lanka Standard Time,1,1027860433196081153,ponswarnam,0,2,,,None,,https://twitter.com/ponswarnam/status/1041368898568744965,அசிங்கங்கள்
14,1040150639664230400,2018-09-13,13:40:12,@Suba_Vee அதான்‌ நீங்க எல்லாரும் அசிங்கங்கள் ஆச்சே,Sri Lanka Standard Time,0,746607036,looney_iam,0,0,,,None,Suba_Vee,https://twitter.com/looney_iam/status/1040150639664230400,அசிங்கங்கள்
15,1039742226530807808,2018-09-12,10:37:18,@Suba_Vee சில அசிங்கங்கள்  எல்லாம்  தம்மை  சிங்கம்  என்று  நினைத்துக் கொண்டு பேசுவதால் வரும் வினை,Sri Lanka Standard Time,1,853440823395930112,sga7K4KnxMB6Bwm,0,0,,,None,Suba_Vee,https://twitter.com/sga7K4KnxMB6Bwm/status/1039742226530807808,அசிங்கங்கள்
16,1039425151874478080,2018-09-11,13:37:22,@ansari_masthan @williamraj48 கருத்தை கருத்தால் எதிர்கொள்ளனுமுன்னா ஜெயா டிவி ரிப்போர்டர்கிட்ட உங்க பழைய தலைவர் “நீதாண்டா கொலைகாரன்” அப்படின்னாரே அப்படியா? இல்லைன்னா தினகரன் அலுவலகத்திலே அப்பாவிங்க 3 பேரைக் கொன்னீங்களே அப்படியா? அசிங்கங்கள் நீங்களெல்லாம் வாய் திறக்க அருகதை உண்டா என்ன? :-),Sri Lanka Standard Time,31,21286054,mayavarathaan,3,3,,,None,"williamraj48,ansari_masthan",https://twitter.com/mayavarathaan/status/1039425151874478080,அசிங்கங்கள்
17,1038322576156545025,2018-09-08,12:36:07,#வாங்கிவிட்டீர்களாகுமுதம் இதெல்லாம் பாத்துட்டு இன்னும் வடிவேல் மாதிரி கெத்தா சுத்திட்டு இருக்கான்அஜித் ரசிகனாய் இருப்பதில் எத்தினி அசிங்கங்கள் அவமானங்கள் செருப்படிகள்  pic.twitter.com/oMF5VTuOPL,Sri Lanka Standard Time,5,1399895718,sivasehwag13,0,4,#வ,,None,,https://twitter.com/sivasehwag13/status/1038322576156545025,அசிங்கங்கள்
18,1037750219645935616,2018-09-06,22:41:47,@RahulGandhi @VVR_KrishnaN @KumarA39398931 பாலியல பத்தி இடுப்புகிள்ளி சேலைய உருவும் திராவிடம் பேசக்கூடாது ஏனா நாட்டுல பாலியல் அசிங்கங்கள் நடக்க முக்கிய காரணமே 60 ஆண்டுகால கலாச்சாரமற்ற இந்து விரோத சினிமாக்கார திராவிடக் கட்சி காங் தான்.காசுக்கு ஓட்டு போடும்போதே திராவிடம் செத்துவிட்டது நீங்க வெறும் பிணமே.,Sri Lanka Standard Time,0,926042305085050882,skjkbk,3,0,,,None,"KumarA39398931,VVR_KrishnaN,RahulGandhi",https://twitter.com/skjkbk/status/1037750219645935616,அசிங்கங்கள்
