,id,date,time,tweet,timezone,likes,user_id,username,replies,retweets,hashtags,retweet,user_rt,mentions,link,Key word
0,971266291905507330,2018-03-07,11:38:23,அடுத்தடுத்த அதிர்ச்சிகளால் நொறுங்கிப்போகும் #தியா! 😯 #அவளும்_நானும் - திங்கள் முதல் வெள்ளி மதியம் 1:30 மணிக்கு உங்கள் விஜயில்.. #AvalumNaanum pic.twitter.com/9KtmpJdMCD,Sri Lanka Standard Time,177,429437160,vijaytelevision,1,8,"#த,#அவள,#AvalumNaanum",,None,,https://twitter.com/vijaytelevision/status/971266291905507330,அதிர்ச்சிகளால்
0,977218167826034688,2018-03-23,21:49:01,மெது மெதுவாய் இது போன்ற செய்திகளுக்கான எதிர்வினை அதிர்ச்சிகள் குறைந்துபோய் அடுத்து யாரென எதிர்பார்க்க ஆரம்பித்து விடுவோம் போல..  https://twitter.com/TOIChennai/status/977189707472924672 …,Sri Lanka Standard Time,3,126707928,SolitaryReaper_,0,2,,,None,,https://twitter.com/SolitaryReaper_/status/977218167826034688,அதிர்ச்சிகள்
1,975852123677249537,2018-03-20,03:20:51,பெரியாரை வாசிக்கும் போது நிறைய அதிர்ச்சிகள் இருக்கின்றன. பாரதியை கிறுக்கன் என்று விளித்திருக்கிறார்....  https://fb.me/IoBmxKnD ,Sri Lanka Standard Time,0,904815594,aharan12,0,0,,,None,,https://twitter.com/aharan12/status/975852123677249537,அதிர்ச்சிகள்
2,973851364391604224,2018-03-14,14:50:33,ஒரே நாளில் இரண்டு அதிர்ச்சிகள்..1. பி.எஸ்.என்.எல். முறைகேடு வழக்கில் இருந்து கேடி பிரதர்ஸ் விடுதலை..! அப்போ...  https://fb.me/QYRPczMI ,Sri Lanka Standard Time,0,18937823,unmaithamilan,0,0,,,None,,https://twitter.com/unmaithamilan/status/973851364391604224,அதிர்ச்சிகள்
3,970148693054709760,2018-03-04,09:37:27,@vikatan நிறைய அதிர்ச்சிகள்..காத்திருக்கு..!,Sri Lanka Standard Time,0,4236261732,porunaiperiyaar,0,0,,,None,vikatan,https://twitter.com/porunaiperiyaar/status/970148693054709760,அதிர்ச்சிகள்
4,969441606351794176,2018-03-02,10:47:44,அதிர்ச்சி மேல் அதிர்ச்சிகள்....😂😂  https://twitter.com/behindwoods/status/969426096125980672 …,Sri Lanka Standard Time,9,1943204184,LifeisCircle,0,5,,,None,,https://twitter.com/LifeisCircle/status/969441606351794176,அதிர்ச்சிகள்
0,976076982982029314,2018-03-20,18:14:22,இன்ப அதிர்ச்சிக்கு உள்ளான சீயான் விக்ரம்   http://www.nakkheeran.in/cinema/cinema-news/chiyaan-vikram-get-surprised-by-air-hostess … #vikram #saamysquare #hari,Sri Lanka Standard Time,20,834341516973834240,nstudioweb,0,13,"#vikram,#saamysquare,#hari",,None,,https://twitter.com/nstudioweb/status/976076982982029314,அதிர்ச்சிக்கு
1,973423346045128704,2018-03-13,10:29:45,உலகநாடுகளில் எங்கும் காணப்படாத இந்த பெண்கள் வேலைசெய்யும் சதவிகிதம் குறைவு அனைவரையும் அதிர்ச்சிக்கு உள்ளாக்கி இருக்கிறது 2/,Sri Lanka Standard Time,8,82270380,happyselvan,1,1,,,None,,https://twitter.com/happyselvan/status/973423346045128704,அதிர்ச்சிக்கு
2,973225756082962433,2018-03-12,21:24:36,என்னோட தற்போதைய  படத்த போட்டா நொந்திருவீங்க. நானே யாரையும் அதிர்ச்சிக்கு உள்ளாக்க வேணாம்னு நினைக்கிறேன்.,Sri Lanka Standard Time,0,15279118,Emlin,0,0,,,None,,https://twitter.com/Emlin/status/973225756082962433,அதிர்ச்சிக்கு
0,978366170603515904,2018-03-27,01:50:46,இரவில் சுடுகாடு வரை ஓடிய மொட்டை ராஜேந்திரன் - அதிர்ச்சியடைந்த படக்குழு -  http://tamilcinema.news/2018032652704.html … pic.twitter.com/68GVe6cf9A,Sri Lanka Standard Time,1,2271335727,123tamilcinema,0,0,,,None,,https://twitter.com/123tamilcinema/status/978366170603515904,அதிர்ச்சியடைந்த
